Ward Code,Official Ward Name & Major Areas,Average Monsoon Rainfall (mm),Max 24-hour Rainfall (mm),Tide Level (m),Population Density (per sq km),Slum Population (%),Low-lying Area (%),Historical Flood Incidents (per year),Flood Risk Level,Elevation (m above sea level),Drainage Density (km per sq km),Built-up Area (%),Total Population,Hospitals (No.),Schools (No.),Stormwater Drain Capacity (mm/hour),Distance to Creek/Sea (km),Mangrove/Wetland Coverage (%),Emergency Response Centers (No.),Latitude,Longitude
A,"Colaba, Cuffe Parade",2459,391,3.4,74762,60,32,4,Medium,3,4.55,94,194585,11,134,28,7.4,1,5,18.9067,72.8147
B,"Dongri, Mandvi",2337,589,2.3,77005,93,34,1,Medium,13,3.81,72,703370,15,21,71,6.9,21,1,18.96,72.83
C,"Marine Lines, Kalbadevi",2456,435,2.9,98397,63,57,4,Medium,12,6.59,46,371363,4,40,73,5.5,12,3,18.944,72.8258
D,"Grant Road, Malabar Hill",2384,445,2.4,28485,91,22,1,Medium,17,5.12,46,397130,3,142,68,0.6,5,8,18.9629,72.8044
E,"Byculla, Nagpada",2009,816,3.4,37641,95,14,3,Medium,6,3.64,79,747135,3,38,45,6.1,15,7,18.9765,72.8331
F/N,"Sion, Matunga",2185,703,0.7,91735,56,37,1,Low,23,4.76,83,710030,5,61,46,5.0,5,9,19.037,72.861
F/S,"Parel, Sewri",2479,342,2.1,71951,24,43,1,Low,27,2.69,73,514512,15,94,36,7.1,16,8,18.9985,72.844
G/N,"Dadar West, Mahim",2370,791,1.3,83838,67,37,4,Medium,34,4.67,90,170255,16,105,62,2.5,25,2,19.019,72.841
G/S,"Dadar East, Prabhadevi",2104,730,1.5,27603,27,31,4,Low,11,4.56,66,373712,10,109,73,6.3,5,5,19.013,72.842
H/E,"Bandra East, Khar East",2008,336,1.4,9682,20,54,4,Medium,10,5.6,62,386752,6,120,33,4.0,10,10,19.06,72.85
H/W,"Bandra West, Santacruz West",2213,641,0.7,73068,90,50,4,Medium,16,4.29,94,151366,23,38,52,1.2,25,8,19.055,72.826
K/E,Andheri East,2098,531,0.3,61821,89,15,3,Medium,21,7.65,55,523234,25,37,60,1.5,0,9,19.1197,72.8697
K/W,Andheri West,2328,583,2.3,54378,83,11,4,Medium,27,5.72,54,366762,11,80,46,4.2,18,4,19.1364,72.8277
L,Kurla,2211,546,2.5,43395,27,51,1,Low,5,4.22,40,310326,4,101,25,5.2,19,4,19.0728,72.8826
M/E,"Govandi, Deonar",2462,584,1.8,27111,25,37,1,Low,16,7.8,73,671379,19,126,39,6.0,22,10,19.051,72.924
M/W,Chembur,2273,742,0.8,88655,30,13,3,Low,29,7.87,67,697957,6,120,47,4.8,3,2,19.0626,72.9005
N,Ghatkopar,2459,591,0.6,40908,38,26,3,Low,16,6.67,76,657138,13,128,37,4.7,20,10,19.085,72.908
P/N,Malad,2160,759,0.6,18765,79,57,4,Medium,22,7.4,69,365780,25,87,29,4.1,10,9,19.186,72.848
P/S,Goregaon,2191,634,2.3,17519,79,51,4,Medium,13,7.6,88,793712,3,57,56,7.7,10,1,19.155,72.849
R/N,Dahisar,2001,887,0.9,85257,26,22,4,Low,9,4.24,66,341030,22,39,64,1.2,8,3,19.25,72.859
R/C,Borivali,2351,946,0.3,57831,84,43,4,Medium,10,4.79,40,720012,14,107,71,3.8,11,4,19.2307,72.8567
R/S,Kandivali,2404,459,2.2,14349,54,60,3,Medium,28,4.3,66,615529,7,126,60,5.6,23,6,19.204,72.851
S,"Bhandup, Vikhroli",2029,520,2.2,18398,37,13,2,Low,33,2.79,73,178668,4,130,62,5.8,16,8,19.145,72.94
T,Mulund,2436,633,0.5,25836,42,23,3,Low,24,6.05,64,558791,6,82,59,6.3,18,8,19.1726,72.9566
